director_name	actor_2_name	genres	actor_1_name	movie_title	actor_3_name	plot_keywords	imdbID	title_year
Rich Christiano	D. David Morin	Drama Fantasy Sci-Fi	Gavin MacLeod	Time Changer 	Hal Linden	bible christian propaganda christianity time machine zealot	tt0295725	2002
Risa Bramon Garcia	Dave Chappelle	Comedy Drama Romance	Janeane Garofalo	200 Cigarettes 	Gaby Hoffmann	bartender friend new year's eve party punk	tt0137338	1999
F. Gary Gray	Jada Pinkett Smith	Action Crime Drama Romance Thriller	Vivica A. Fox	Set It Off 	Blair Underwood	bank black comedy main characters killed off money robbery	tt0117603	1996
Steven Spielberg	Tom Hanks	Biography Crime Drama	Leonardo DiCaprio	Catch Me If You Can 	Jennifer Garner	attorney cat and mouse fbi pan am pilot	tt0264464	2002
Alister Grierson	Rhys Wakefield	Adventure Drama Thriller	Ioan Gruffudd	Sanctum 	Richard Roxburgh	cave expedition panic rebreather underwater	tt0881320	2011
Duane Journey	Lara Flynn Boyle	Comedy Horror	Molly C. Quinn	Hansel & Gretel Get Baked 	Lochlyn Munro	hansel and gretel lesbian kiss marijuana witch witchcraft	tt2081194	2013
George Roy Hill	Ted Cassidy	Biography Crime Drama Western	Katharine Ross	Butch Cassidy and the Sundance Kid 	Kenneth Mars	bolivia gang outlaw posse train	tt0064115	1969
Jim Chuchu	Olwenya Maina	Drama	Paul Ogola	Stories of Our Lives 	Mugambi Nthiga		tt3973612	2014
Ken Kwapis	Tim Blake Nelson	Biography Drama Romance	Ted Danson	Big Miracle 	Andrew Daly	arctic circle reporter small town volunteer whale	tt1430615	2012
Noah Baumbach	Maria Dizzia	Comedy Drama	Naomi Watts	While We're Young 	Dree Hemingway	documentary filmmaker documentary filmmaking father in law generation z hipster	tt1791682	2014
Jon Hess	Ian Gomez	Action	Burt Young	Excessive Force 	Thomas Ian Griffith	exercise bicycle face in food police police brutality policeman	tt0104215	1993
Steven Spielberg	Dee Wallace	Family Sci-Fi	Henry Thomas	E.T. the Extra-Terrestrial 	Peter Coyote	bicyclist boy doll star wars reference voice impersonation	tt0083866	1982
Spike Lee	Delroy Lindo	Comedy Drama	Alfre Woodard	Crooklyn 	Isaiah Washington	argument birthday bully coming of age semi autobiographical	tt0109504	1994
Hue Rhodes	Steve Buscemi	Comedy Drama	Peter Dinklage	Saint John of Las Vegas 	Romany Malco	city name in title male frontal nudity place name in title	tt1276105	2009
Baz Luhrmann	Bryan Brown	Adventure Drama Romance War	Essie Davis	Australia 	Eddie Baroo	australia cattle darwin drover japanese	tt0455824	2008
Rob Minkoff	Rachael Harris	Comedy Family Fantasy Horror Mystery	Marsha Thomason	The Haunted Mansion 	Marc John Jefferies	arachnophobia crystal ball ghost haunted house thunderstorm	tt0338094	2003
Francis Ford Coppola	Bruce Dern	Comedy Fantasy Horror Mystery	Alden Ehrenreich	Twixt 	Joanne Whalley	ghost hotel murder stake what happened to epilogue	tt1756851	2011
Qasim Basir	Nia Long	Drama Family	Dorian Missick	Mooz-Lum 	Evan Ross	one word title	tt1450328	2010
Joshua Logan	Lee Marvin	Comedy Drama Musical Romance Western	Clint Eastwood	Paint Your Wagon 	Ray Walston	california farmer gold mining prospector	tt0064782	1969
Luis Valdez	Rosanna DeSoto	Biography Drama Music	Esai Morales	La Bamba 	Danielle von Zerneck	crash hispanic interracial relationship interracial romance racism	tt0093378	1987
Justin Lin	Zachery Ty Bryan	Action Crime Thriller	Amber Stevens West	The Fast and the Furious: Tokyo Drift 	Nikki Griffin	car challenge drift racing drifting tokyo japan	tt0463985	2006
Tamra Davis	Katherine Boecher	Comedy Drama	Britney Spears	Crossroads 	Dave Allen	audition friendship graduation high school graduation love	tt0275022	2002
Richard Shepard	Philip Baker Hall	Comedy Crime Drama Thriller	Adam Scott	The Matador 	Hope Davis	bar hitman luck mexico mexico city	tt0365485	2005
Todd Solondz	Jon Lovitz	Comedy Drama	Philip Seymour Hoffman	Happiness 	Dylan Baker	ensemble cast episodic structure satire social satire suburb	tt0147612	1998
Brian Trenchard-Smith	Udo Kier	Action Adventure Fantasy Sci-Fi Thriller	Michael Biehn	Megiddo: The Omega Code 2 	Franco Nero	armageddon battle end times reference to satan sequel	tt0263728	2001
Woody Allen	Aleksa Palladino	Comedy Drama	Melanie Griffith	Celebrity 	Greg Mottola	celebrity journalist lesbian kiss strong female character tv producer	tt0120533	1998
Steve Rash	Nia Long	Comedy	Barry Corbin	Held Up 	Jake Busey	hold up hostage stockholm syndrome swat team vegetarian	tt0165831	1999
Andrey Konchalovskiy	Nathan Lane	Action Family Fantasy Musical	Shirley Henderson	The Nutcracker in 3D 	Richard E. Grant	box office flop christmas christmas eve critically bashed toy comes to life	tt1041804	2010
Stephen J. Anderson	Robert Lopez	Adventure Animation Comedy Family Musical	Craig Ferguson	Winnie the Pooh 	Huell Howser	disney owl rabbit sequel tiger	tt1449283	2011
Rodrigo García	Michael McElhatton	Drama	Mia Wasikowska	Albert Nobbs 	Mark Williams	19th century hotel painter waiter woman pretending to be a man	tt1602098	2011
Lana Wachowski	Kick Gurry	Action Family Sport	Scott Porter	Speed Racer 	Nicholas Elia	based on anime based on cartoon gadget car racer speed	tt0811080	2008
Rob Reiner	Virginia Madsen	Drama History	Alexa PenaVega	Ghosts of Mississippi 	Craig T. Nelson	activist assassin civil rights trial widow	tt0116410	1996
	Tiffany Thornton	Comedy Family Romance	Doug Brochu	Sonny with a Chance             	Brandon Mychal Smith	cafeteria female protagonist rival teenage girl teenager	tt1252374	
Gary Halvorson	Kevin Clash	Adventure Comedy Family Fantasy Musical	Vanessa Williams	The Adventures of Elmo in Grouchland 	Caroll Spinney	based on tv series blanket box office flop rescue sesame street	tt0159421	1999
	Adam Goldberg	Crime Drama Thriller	Kirsten Dunst	Fargo             	Oliver Platt	anthology death insurance salesman minnesota police officer	tt2802850	
Roman Polanski	Olivia Williams	Mystery Thriller	Jim Belushi	The Ghost Writer 	Timothy Hutton	british prime minister death island memoir writer	tt1139328	2010
Tony Scott	Rosario Dawson	Action Thriller	Denzel Washington	Unstoppable 	Ethan Suplee	freight train race against time runaway train train train engineer	tt0477080	2010
George Clooney	Matt Damon	Drama War	Bill Murray	The Monuments Men 	Bob Balaban	art art expert nazi stolen art soldier world war two	tt2177771	2014
Louis Leterrier	Jet Li	Action Crime Drama Thriller	Morgan Freeman	Unleashed 	Bob Hoskins	collar dog fight fighting piano	tt0342258	2005
Thea Sharrock	Emilia Clarke	Drama Romance	Sam Claflin	Me Before You 	Brendan Coyle	accident caretaker economic hardship quadriplegic wheelchair	tt2674426	2016
Edward Zwick	Anne Hathaway	Comedy Drama Romance	Jake Gyllenhaal	Love & Other Drugs 	Judy Greer	female nudity male objectification pfizer viagra zoloft	tt0758752	2010
Gavin Hood	Nambitha Mpumlwana	Crime Drama	Terry Pheto	Tsotsi 	Rapulana Seiphemo	baby bathing a baby criminal slum vomiting	tt0468565	2005
Paul Fox	Jeff Seymour	Horror Thriller	Dov Tiefenbach	The Dark Hours 	Gordon Currie	brain tumor champagne game psychiatrist weekend	tt0402249	2005
John Singleton	Lloyd Avery II	Crime Drama	John Cothran	Boyz n the Hood 	Na'Blonka Durden	drugs escape football friend violence	tt0101507	1991
Kevin Tancharoen	Heather Morris	Documentary Music	Lea Michele	Glee: The 3D Concert Movie 	Kevin McHale	concert live in concert recording live performance	tt1922612	2011
Rob Marshall	Mako	Drama Romance	Li Gong	Memoirs of a Geisha 	Karl Yune	coming of age geisha japan jealousy love	tt0397535	2005
Paul Feig	Wendi McLendon-Covey	Comedy Romance	Matt Lucas	Bridesmaids 	Steve Bannos	best friend failure food job partial female nudity	tt1478338	2011
Patrick Creadon	Bill Clinton	Documentary	Ken Burns	Wordplay 	Bob Dole	comedian crossword puzzle editor new york times puzzle	tt0492506	2006
Ivan Reitman	Cathy Moriarty	Action Comedy Crime	Richard Tyson	Kindergarten Cop 	Penelope Ann Miller	astoria kindergarten kindergarten teacher school teacher	tt0099938	1990
Bruce Paltrow	Marian Seldes	Comedy Drama Music	Lochlyn Munro	Duets 	Huey Lewis	convict karaoke middle america salesman singer	tt0134630	2000
Paul Michael Glaser	Maria Conchita Alonso	Action Crime Sci-Fi Thriller	Yaphet Kotto	The Running Man 	Richard Dawson	game of death government conspiracy latina oppression police	tt0093894	1987
Richard Linklater	Sarah Silverman	Comedy Music	Miranda Cosgrove	School of Rock 	Mike White	battle of the bands rock band school teacher substitute teacher teacher	tt0332379	2003
Stephen Hopkins	Kelly Jo Minter	Fantasy Horror Romance Thriller	Lisa Wilcox	A Nightmare on Elm Street 5: The Dream Child 	Matthew Borlenghi	child comic book dream murderer nightmare	tt0097981	1989
Jamel Debbouze	Youssef Hajdi	Adventure Animation Comedy Family	Jamel Debbouze	Animal Kingdom: Let's go Ape 	Mélissa Theuriau	ape computer animation evolution first person title reference to louis de funes	tt1220911	2015
Noah Baumbach	Grace Gummer	Comedy Drama Romance	Greta Gerwig	Frances Ha 	Vanessa Ray	best friend black and white father daughter relationship female protagonist mother daughter relationship	tt2347569	2012
Francis Ford Coppola	Anthony Hopkins	Fantasy Horror Romance	Keanu Reeves	Bram Stoker's Dracula 	Gary Oldman	dracula horror movie remake maze monster sex vampire	tt0103874	1992
Guy Ritchie	Eddie Marsan	Action Adventure Crime Mystery Thriller	Robert Downey Jr.	Sherlock Holmes 	Robert Maillet	black magic bridge construction professor moriarty scotland yard inspector sherlock holmes	tt0988045	2009
Robert Zemeckis	Anthony Hopkins	Action Adventure Animation Fantasy	Robin Wright	Beowulf 	Sebastian Roché	creature demon king reward warrior	tt0442933	2007
Jim Sheridan	Bill Duke	Biography Crime Drama Music	50 Cent	Get Rich or Die Tryin' 	Marc John Jefferies	male frontal nudity male pubic hair prison pubic hair violence	tt0430308	2005
Paul Schrader	Irène Jacob	Drama Thriller	Nicolas Cage	Dying of the Light 	Tomiwa Edun	cia individualism mental illness religion revenge	tt1274586	2014
Michael Caton-Jones	Jason Flemyng	Adventure Biography	Liam Neeson	Rob Roy 	Eric Stoltz	18th century highlands scotland sexual cruelty sword fight	tt0114287	1995
Jean-Luc Godard	Anna Karina	Crime Drama Romance	Jean-Paul Belmondo	Pierrot le Fou 	Graziella Galvani	beach money on the run party smuggling	tt0059592	1965
Albert Hughes	Jason Flemyng	Horror Mystery Thriller	Johnny Depp	From Hell 	Ian Richardson	freemason jack the ripper opium prostitute victorian era	tt0120681	2001
Frank Darabont	Alexa Davalos	Horror	Toby Jones	The Mist 	Jeffrey DeMunn	desperation fog giant insect survival survival horror	tt0884328	2007
Edward Zwick	Morgan Freeman	Drama History War	Denzel Washington	Glory 	Matthew Broderick	army black soldier military uniform prejudice u.s. civil war	tt0097441	1989
David G. Evans	Chris Thomas	Drama	Michael Joiner	The Grace Card 	Michael Higgenbottom	christian film forgiveness hospital pastor police	tt1544600	2010
Jon Favreau	Bill Murray	Adventure Drama Family Fantasy	Scarlett Johansson	The Jungle Book 	Garry Shandling	fire jungle remake tiger wolf	tt3040964	2016
Robert Redford	Tom Wilkinson	Crime Drama History	Robin Wright	The Conspirator 	Stephen Root	john wilkes booth lawyer lincoln assassination trial truth	tt0968264	2010
Jonathan Liebesman	Emma Caulfield	Horror Mystery Thriller	Sullivan Stapleton	Darkness Falls 	Angus Sampson	boy darkness light tooth tooth fairy	tt0282209	2003
Ron Howard	Ayelet Zurer	Mystery Thriller	Tom Hanks	Angels & Demons 	Armin Mueller-Stahl	conclave illuminati murder reference to bernini reference to raphael	tt0808151	2009
Robert Wise	Paula Kelly	Sci-Fi Thriller	David Wayne	The Andromeda Strain 	Eric Christmas	alien baby new mexico satellite scientist	tt0066769	1971
Dan Cutforth	Ashley Ashida Dixon	Documentary Music	Lexie Contursi	Katy Perry: Part of Me 	Anthony Burrell	female protagonist reference to britney spears singer song world tour	tt2215719	2012
Scott Marshall	Jami Gertz	Comedy	Miranda Cosgrove	Keeping Up with the Steins 	Carter Jenkins	bar mitzvah carried in a chair hebrew party rite of passage	tt0415949	2006
David Anspaugh	Costas Mandylor	Drama History Sport	Gerard Butler	The Game of Their Lives 	Jimmy Jean-Louis	1950s brazil soccer soccer movie world cup	tt0354595	2005
Chris Kentis	Saul Stein	Adventure Biography Drama Horror Thriller	Blanchard Ryan	Open Water 	Daniel Travis	bare chested male female full frontal nudity hairy chest male full frontal nudity nude with glasses	tt0374102	2003
John Carpenter	Kate Burton	Action Adventure Comedy Fantasy	Victor Wong	Big Trouble in Little China 	Peter Kwong	1980s airport cb radio truck truck driver	tt0090728	1986
Jerome Robbins	George Chakiris	Crime Drama Musical Romance Thriller	Rita Moreno	West Side Story 	Richard Beymer	dance gang new york city puerto rican tragedy	tt0055614	1961
Danny Steinmann	Melanie Kinnaman	Horror Mystery Thriller	Tiffany Helm	Friday the 13th: A New Beginning 	Dominick Brascia	jason voorhees murder new jersey nightmare teenager	tt0089173	1985
Christian Volckman	Catherine McCormack	Action Animation Sci-Fi Thriller	Romola Garai	Renaissance 	Kevork Malikyan	future kidnapping missing file paris france year 2054	tt0386741	2006
