director_name	actor_2_name	genres	actor_1_name	movie_title	actor_3_name	plot_keywords	imdbID	title_year
Wes Anderson	Tom Wilkinson	Adventure Comedy Crime Drama	Bill Murray	The Grand Budapest Hotel 	F. Murray Abraham	first person narration hotel lobby boy mentor protege relationship painting	tt2278388	2014
Kenneth Johnson	Annabeth Gish	Action Crime Sci-Fi	Charles Napier	Steel 	Hill Harper	fight gang junkyard military soldier	tt0120207	1997
Curtis Hanson	Glenn Morshower	Action Adventure Crime Thriller	Meryl Streep	The River Wild 	William Lucking	criminal rafting river robber white water rafting	tt0110997	1994
Jon M. Chu	Mari Koda	Drama Music Musical Romance	Cassie Ventura	Step Up 2: The Streets 	Luis Rosado	audition dance kissing in the rain student subway	tt1023481	2008
Angelina Jolie Pitt	Jack O'Connell	Biography Drama Sport War	Finn Wittrock	Unbroken 	Alex Russell	emaciation male nudity plane crash prisoner of war torture	tt1809398	2014
François Girard	Clotilde Mollet	Drama Music Mystery Romance	Johannes Silberschneider	The Red Violin 	Carlo Cecchi	auction montreal secret violin violinist	tt0120802	1998
Martin Campbell	Joe Don Baker	Action Adventure Thriller	Izabella Scorupco	GoldenEye 	Tchéky Karyo	agent cossack official james bond series russia russian	tt0113189	1995
Ron Shelton	Robert Wagner	Comedy Drama Sport	Willie Garson	Play It to the Bone 	Lolita Davidovich	boxing movie friendship highway travel male rear nudity road movie	tt0196857	1999
Peter Hyams	Bruce McGill	Action Crime Sci-Fi Thriller	Mia Sara	Timecop 	Gloria Reuben	cop corrupt politician future senator time travel	tt0111438	1994
Alan Metter	Michael Winslow	Comedy Crime	Christopher Lee	Police Academy: Mission to Moscow 	G.W. Bailey	captain commandant mafia russian mafia security system	tt0110857	1994
Marc Webb	Andrew Garfield	Action Adventure Fantasy Sci-Fi	Emma Stone	The Amazing Spider-Man 2 	B.J. Novak	costumed hero death of girlfriend masked vigilante returning character killed off teenager	tt1872181	2014
Matthew O'Callaghan	Frank Welker	Adventure Animation Comedy Family	Will Ferrell	Curious George 	Alexander Gould	hat monkey museum shrine yellow	tt0381971	2006
Andrew Leman	David Mersault	Fantasy Horror Mystery Thriller	Dan Novy	The Call of Cthulhu 	Barry Lynch	1920s cthulhu dream sailor silent film	tt0478988	2005
Oliver Stone	Scott Glenn	Biography Drama History	Toby Jones	W. 	Bruce McGill	bible cabinet meeting dog drinking family relationships	tt1175491	2008
Tom Hanks	Rob Riggle	Comedy Drama Romance	Tom Hanks	Larry Crowne 	Randall Park	bus stop college community college scooter speech class	tt1583420	2011
Lasse Hallström	Noah Lomax	Drama Romance Thriller	David Lyons	Safe Haven 	Mimi Kirkland	abusive husband chick flick north carolina secret widower	tt1702439	2013
George Tillman Jr.	Charlize Theron	Biography Drama	Robert De Niro	Men of Honor 	Michael Rapaport	african american amputee navy racial discrimination racism	tt0203019	2000
Robert Rodriguez	Joel McHale	Action Adventure Comedy Family Sci-Fi	Alexa PenaVega	Spy Kids: All the Time in the World in 4D 	Daryl Sabara	2010s 3 dimensional breath holding contest child spy spy	tt1517489	2011
Steven Quale	Alycia Debnam-Carey	Action Thriller	Matt Walsh	Into the Storm 	Scott Lawrence	danger graduation storm teenage boy tornado	tt2106361	2014
Barry Sonnenfeld	Raul Julia	Comedy Fantasy	Anjelica Huston	The Addams Family 	Carel Struycken	accountant loan shark macabre uncle uncle fester	tt0101272	1991
Peter Lord	Russell Tovey	Adventure Animation Comedy Family	Salma Hayek	The Pirates! Band of Misfits 	Brian Blessed	charles darwin cutlass pirate queen victoria scientist	tt1430626	2012
Lawrence Guterman	Elizabeth Perkins	Action Comedy Family Fantasy	Carol Ann Susi	Cats & Dogs 	Miriam Margolyes	cartoon on tv cat dog scientist secret agent	tt0239395	2001
Scott Waugh	Dominic Cooper	Action Crime Drama Thriller	Rami Malek	Need for Speed 	Ramon Rodriguez	cross country custom car illegal street racing police officer crushed street racing	tt2369135	2014
Ron Underwood	Randy Quaid	Action Comedy Sci-Fi	Rosario Dawson	The Adventures of Pluto Nash 	Burt Young	casino future laser gun moon nightclub	tt0180052	2002
Gavin Wiesen	Blair Underwood	Drama Romance	Michael Angarano	The Art of Getting By 	Rita Wilson	art teacher artist high school homework principal	tt1645080	2011
Ken Scott	Bobby Moynihan	Comedy Drama	Jack Reynor	Delivery Man 	Matthew Daddario	children identity lawsuit lawyer sperm donor	tt2387559	2013
	Dulé Hill	Comedy Crime Mystery	Corbin Bernsen	Psych             	Timothy Omundson	best friend friend police police department psychic	tt0491738	
	Jamie Farr	Comedy Drama War	David Ogden Stiers	M*A*S*H             	Mike Farrell	colonel doctor korean war major nurse	tt0068098	
Jaume Balagueró	Pablo Rosso	Horror	Manuela Velasco	[Rec] 	Carlos Lasarte	apartment building character's point of view camera shot fire station subjective camera television reporter	tt1038988	2007
Michael Bay	Sophia Myles	Action Adventure Sci-Fi	Bingbing Li	Transformers: Age of Extinction 	Kelsey Grammer	blockbuster bumblebee the character semi truck and trailer texas truck	tt2109248	2014
Walter Hill	Wes Studi	Action Crime Drama Sport	Fisher Stevens	Undisputed 	Jon Seda	boxing fight heavyweight champion iceman prison	tt0281322	2002
George Sidney	Basil Rathbone	Comedy Musical	Esther Williams	Bathing Beauty 	Red Skelton	college teacher theatrical producer tutu wedding	tt0036628	1944
George P. Cosmatos	Ben Gazzara	Action Thriller	Sam Waterston	Shadow Conspiracy 	Nicholas Turturro	american president assassin conspiracy president white house	tt0120107	1997
Michael Apted	Maria Grazia Cucinotta	Action Adventure Thriller	Colin Salmon	The World Is Not Enough 	Desmond Llewelyn	british oil scientist terrorist tycoon	tt0143145	1999
David Fincher	Meat Loaf	Drama	Brad Pitt	Fight Club 	Eugenie Bondurant	anti establishment dark humor fighting multiple personality disorder surprise ending	tt0137523	1999
R. Balki	Abhishek Bachchan	Comedy Drama	Vidya Balan	Paa 	Paresh Rawal	adult actor playing minor politician progeria reference to spiderman school	tt1532957	2009
Steve Martino	Venus Schultheis	Adventure Animation Comedy Family	Francesca Capaldi	The Peanuts Movie 	Bill Melendez	dog girl imagination peanuts red hair	tt2452042	2015
John Frankenheimer	James Frain	Action Adventure Crime Drama Family Fantasy Romance Thriller	Charlize Theron	Reindeer Games 	Clarence Williams III	casino christmas christmas season girlfriend release from prison	tt0184858	2000
Sam Raimi	Bridget Fonda	Crime Drama Thriller	Gary Cole	A Simple Plan 	Chelcie Ross	bag of money found money minnesota screenplay adapted by author snow	tt0120324	1998
Neil Jordan	Stephen Rea	Drama Mystery Romance	Tony Curran	Ondine 	Alicja Bachleda	celtic mythology cottage fisherman irish selkie	tt1235796	2009
Oliver Stone	Tom Berenger	Biography Drama War	Tom Cruise	Born on the Fourth of July 	Stephen Baldwin	desert drunkenness religious mother strict mother vietnam war	tt0096969	1989
Christopher Guest	Christopher Guest	Comedy Music	Michael McKean	A Mighty Wind 	Laura Harris	concert mockumentary musician new york city singer	tt0310281	2003
Sam Weisman	Larry Miller	Comedy Crime	Bernie Mac	What's the Worst That Could Happen? 	Richard Schiff	businessman ring thief vulgarity washington d.c.	tt0161083	2001
Gus Van Sant	Udo Kier	Drama	Keanu Reeves	My Own Private Idaho 	Flea	friend hustler italy narcolepsy traveling	tt0102494	1991
Joel Coen	Jeff Bridges	Comedy Crime	Philip Seymour Hoffman	The Big Lebowski 	Steve Buscemi	death drug nihilism rug white russian	tt0118715	1998
Terrence Malick	Miranda Otto	Drama War	Nick Stahl	The Thin Red Line 	Dash Mihok	battle hill jungle multiple perspectives tropical island	tt0120863	1998
Shekhar Kapur	Lucy Gordon	Adventure Drama Romance War	Djimon Hounsou	The Four Feathers 	Alex Jennings	male nudity naked dead man nudity sex whipping	tt0240510	2002
Paul Greengrass	Nicholas Farrell	Drama History War	James Nesbitt	Bloody Sunday 	Tim Pigott-Smith	civil rights irish march northern ireland protest march	tt0280491	2002
Garry Marshall	Christopher Meloni	Comedy Romance	Julia Roberts	Runaway Bride 	Hector Elizondo	bride columnist journalist maryland wedding	tt0163187	1999
	James Norton	Crime Drama	Shirley Henderson	Happy Valley             	Sarah Lancashire	caravan police police sergeant tied to a chair yorkshire	tt3428912	
Chris Marker	Bertrand Cantat	Documentary	Marina Vlady	The Case of the Grinning Cat 	Léon Schwartzenberg		tt0437123	2004
Gillian Robespierre	Jenny Slate	Comedy Drama	Gaby Hoffmann	Obvious Child 	Jake Lacy	abortion divorced parents one night stand pregnancy pregnant	tt2910274	2014
Griffin Dunne	Dianne Wiest	Comedy Drama Fantasy Romance	Goran Visnjic	Practical Magic 	Stockard Channing	curse death island love magic	tt0120791	1998
Marc Lawrence	Alicia Witt	Comedy Romance	Dorian Missick	Two Weeks Notice 	Dana Ivey	developer divorce lawyer love new york city	tt0313737	2002
Anton Corbijn	Nina Hoss	Crime Drama Thriller	Philip Seymour Hoffman	A Most Wanted Man 	Homayoun Ershadi	intelligence intelligence agency secret service surveillance camera war on terror	tt1972571	2014
Laurent Cantet	Agame Malembo-Emene	Drama	François Bégaudeau	The Class 	Angélica Sancio	high school inner city school student teacher	tt1068646	2008
Jaume Collet-Serra	Common	Action Crime Drama Thriller	Liam Neeson	Run All Night 	Bruce McGill	death drug dealer limousine limousine driver one night	tt2199571	2015
Randal Kleiser	Klaus Maria Brandauer	Adventure Drama	Seymour Cassel	White Fang 	Susan Hogan	alaska dog friendship gold yukon	tt0103247	1991
William Kaufman	Sean Cook	Action Thriller	Drew Waters	The Hit List 	Cole Hauser	die hard scenario engineer held at gunpoint race against time shot to death	tt1575694	2011
Jason Reitman	Cameron Bright	Comedy Drama	J.K. Simmons	Thank You for Smoking 	Todd Louiso	cigarette smoking lobbyist political satire reporter tobacco industry	tt0427944	2005
Pou-Soi Cheang	Aaron Kwok	Action Adventure Fantasy	Li Gong	Xi you ji zhi: Sun Wukong san da Baigu Jing 	Eddie Peng	buddhism demon journey to the west monk monkey king	tt4591310	2016
Steven Spielberg	Karen Allen	Action Adventure	Harrison Ford	Raiders of the Lost Ark 	William Hootkins	archeological dig archeologist ark of the covenant egypt nazi	tt0082971	1981
Geoff Murphy	Brenda Bakke	Action Thriller	Peter Greene	Under Siege 2: Dark Territory 	Patrick Kilpatrick	colorado niece satellite terrorist train	tt0114781	1995
Kevin Greutert	Gina Holden	Horror Mystery	Costas Mandylor	Saw 3D: The Final Chapter 	Betsy Russell	blood splatter self help guru sequel support group survivor	tt1477076	2010
Cristian Mungiu	Vlad Ivanov	Drama	Anamaria Marinca	4 Months	 3 Weeks and 2 Days 	Alexandru Potocean	female rear nudity friend hotel rainy night towel	tt1032846	2007
David Fincher	Dwight Yoakam	Crime Drama Thriller	Kristen Stewart	Panic Room 	Mel Rodriguez	brownstone burglar money panic panic room	tt0258000	2002
Steven Soderbergh	Michael Fassbender	Action Thriller	Channing Tatum	Haywire 	Michael Angarano	die hard scenario one woman army rescue soldier super soldier	tt1506999	2011
Paul Verhoeven	Kim Dickens	Action Horror Sci-Fi Thriller	Greg Grunberg	Hollow Man 	Joey Slotnick	experiment research scientist suburb surrealism	tt0164052	2000
Anthony Bell	Larry Miller	Adventure Animation Comedy Family Romance	Kevin Sussman	Alpha and Omega 	Christine Lakin	arranged marriage geese idaho national park park	tt1213012	2010
Lasse Hallström	Camryn Manheim	Drama	Morgan Freeman	An Unfinished Life 	Lynda Boyd	abusive boyfriend bear car accident ranch wyoming	tt0350261	2005
Corey Yuen	Holly Valance	Action Adventure	Steve Howey	DOA: Dead or Alive 	Sarah Carter	female fighter island martial arts parachute tournament	tt0398913	2006
Roger Donaldson	Akie Kotabe	Action Crime Thriller	Luke Bracey	The November Man 	Will Patton	critically bashed premarital sex sex scene sex standing up stripper	tt2402157	2014
Kief Davidson	Brian Whitaker	Documentary	G.W. Krauss	A Lego Brickumentary 	Jason Bateman	artist denmark lego toy toy company	tt3214286	2014
Norman Jewison	Colin Salmon	Drama Thriller	Charlotte Rampling	The Statement 	John Neville	eiffel tower nazi police ritual stew	tt0340376	2003
Steve Miner	Bridget Fonda	Action Comedy Horror	Oliver Platt	Lake Placid 	Ty Olsson	crocodile eaten alive lake maine sheriff	tt0139414	1999
Clint Eastwood	Warren Clarke	Action Adventure Thriller	Clint Eastwood	Firefox 	Kenneth Colley	fighter plane jet fighter refueling russia soviet union	tt0083943	1982
Lance Kawas	Michael Rapaport	Comedy	Taylor Negron	The Deported 	Talia Shire	actor italian american mexico orphan usa	tt1390404	2009
Tom Hooper	Mark Bazeley	Biography Drama Sport	Stephen Graham	The Damned United 	Maurice Roëves	cup derby county flashback football leeds united	tt1226271	2009
Steve Buscemi	Debi Mazar	Comedy Drama	Steve Buscemi	Trees Lounge 	Carol Kane	alcoholic drink bar drink drinking drunk	tt0117958	1996
George Clooney	Philip Seymour Hoffman	Drama	Ryan Gosling	The Ides of March 	Jennifer Ehle	governor intern manager ohio politics	tt1124035	2011
Peter Segal	Fred Ward	Comedy Crime	George Kennedy	Naked Gun 33 1/3: The Final Insult 	Priscilla Presley	retirement spoof terrorist transsexual undercover	tt0110622	1994
Chris Rock	Eliza Coupe	Comedy Drama Romance	Steve Buscemi	I Think I Love My Wife 	Wendell Pierce	banker investment investment banker marriage sex	tt0770772	2007
Chris Nahon	Bridget Fonda	Action Crime Drama Thriller	Jet Li	Kiss of the Dragon 	Max Ryan	action hero chinese forced prostitution one man army title spoken by character	tt0271027	2001
John Schultz	Mark Webber	Comedy Drama Romance	Stephen Collins	Drive Me Crazy 	Keri Lynn Pratt	centennial girl next door neighbor prom school	tt0164114	1999
Vincenzo Natali	David Hewlett	Drama Horror Sci-Fi	Sarah Polley	Splice 	Delphine Chanéac	dna experiment genetics interspecies sex scientist	tt1017460	2009
Ryan Coogler	Melonie Diaz	Biography Drama Romance	Ahna O'Reilly	Fruitvale Station 	Ariana Neal	22 year old b.a.r.t. bay area birthday police	tt2334649	2013
Walter Hill	Wilson Cruz	Horror Sci-Fi Thriller	Robert Forster	Supernova 	Vanessa Marshall	deep space distress signal explosion mining rescue	tt0134983	2000
Frank Coraci	Clint Howard	Comedy Sport	Adam Sandler	The Waterboy 	Peter Dante	coach college college football domineering mother football	tt0120484	1998
Joe Wright	Cara Delevingne	Adventure Family Fantasy	Hugh Jackman	Pan 	Nonso Anozie	1940s child hero fantasy world orphan reference to peter pan	tt3332064	2015
Frédéric Forestier	Santiago Segura	Adventure Comedy Family Fantasy	Alain Delon	Asterix at the Olympic Games 	Vanessa Hessler	1st century b.c. lightsaber local blockbuster magical potion potion	tt0463872	2008
Julie Taymor	Roger Rees	Biography Drama Romance	Salma Hayek	Frida 	Valeria Golino	art bisexual marriage pain revolutionary	tt0120679	2002
Brendan Malloy	Jason London	Comedy Sport	Lee Majors	Out Cold 	Thomas Lennon	alaska mountain ski resort snowboard snowboarding	tt0253798	2001
Eldar Rapaport	Adrian Gonzalez	Drama Romance	Murray Bartlett	August 	Edward Conna	apartment gay parent job interview male pubic hair pubic hair	tt1753460	2011
Robert Zemeckis	Anthony Hopkins	Action Adventure Animation Fantasy	Robin Wright	Beowulf 	Sebastian Roché	creature demon king reward warrior	tt0442933	2007
Alejandro G. Iñárritu	Eddie Marsan	Drama	Naomi Watts	21 Grams 	Danny Huston	accident faith love mathematician nonlinear timeline	tt0315733	2003
Ulu Grosbard	Treat Williams	Drama	Alexa PenaVega	The Deep End of the Ocean 	Jonathan Jackson	basketball boy italian kidnapping a child reunion	tt0120646	1999
Frank Capra	Jean Arthur	Comedy Drama	Claude Rains	Mr. Smith Goes to Washington 	Thomas Mitchell	camp corruption governor senate u.s. senate	tt0031679	1939
Richard Curtis	Tom Hollander	Drama Fantasy Romance	Tom Hughes	About Time 	Lindsay Duncan	boyfriend girlfriend relationship lingerie slip time travel time travel romance wedding	tt2194499	2013
Jonathan Liebesman	Danny Woodburn	Action Adventure Comedy Sci-Fi	Noel Fisher	Teenage Mutant Ninja Turtles 	Jeremy Howard	18 wheeler mutant ninja sewer turtle	tt1291150	2014
John Cameron Mitchell	Miriam Shor	Comedy Drama Music Musical	John Cameron Mitchell	Hedwig and the Angry Inch 	Andrea Martin	band rock band sex change song transsexual	tt0248845	2001
Dean DeBlois	Jason Scott Lee	Adventure Animation Comedy Drama Family Fantasy Sci-Fi	Tia Carrere	Lilo & Stitch 	David Ogden Stiers	alien escape fugitive hawaii social worker	tt0275847	2002
Sam Weisman	Valerie Perri	Comedy	Oliver Hudson	The Out-of-Towners 	Carlease Burke	job interview manhattan new york city new york city remake sausage	tt0129280	1999
Alan Taylor	Natalie Portman	Action Adventure Fantasy	Chris Hemsworth	Thor: The Dark World 	Anthony Hopkins	arrest portal thor warrior weapon	tt1981115	2013
John Carpenter	Kate Burton	Action Adventure Comedy Fantasy	Victor Wong	Big Trouble in Little China 	Peter Kwong	1980s airport cb radio truck truck driver	tt0090728	1986
Rob Hedden	Peter Mark Richman	Adventure Horror	Kane Hodder	Friday the 13th Part VIII: Jason Takes Manhattan 	Scott Reeves	cult film friday the thirteenth hockey mask jason voorhees murder spree	tt0097388	1989
Bill Condon	Lynn Redgrave	Biography Drama	Brendan Fraser	Gods and Monsters 	Kevin J. O'Connor	friendship gardener gay interest homosexual memory	tt0120684	1998
Richard Donner	Patrick Troughton	Fantasy Horror Mystery	Lee Remick	The Omen 	Billie Whitelaw	ambassador death hospital priest stillborn child	tt0075005	1976
Daniel Espinosa	Fares Fares	Crime Drama Thriller	Tom Hardy	Child 44 	Michael Nardone	child murderer murder sex soviet union woman slaps a man	tt1014763	2015
Paul Bolger	George Carlin	Adventure Animation Comedy Family Fantasy	Sarah Michelle Gellar	Happily N'Ever After 	Rob Paulsen	apostrophe in title cinderella first of series punctuation in title three word title	tt0308353	2006
Darren Stein	Jamie Kennedy	Comedy Drama	Frances Bay	Sparkler 	Veronica Cartwright	automobile association of america cheating psychic reference to tom jones the singer trailer park	tt0124137	1997
Bob Odenkirk	Chi McBride	Comedy Crime	Dylan Baker	Let's Go to Prison 	Amy Hill	illinois judge male full back nudity revenge wine tasting	tt0454987	2006
Lluís Quílez	Pixie Davies	Horror Thriller	Stephen Rea	Out of the Dark 	Alejandro Furth	haunted house	tt2872724	2014
Barry Levinson	Brad Pitt	Crime Drama Thriller	Robert De Niro	Sleepers 	Minnie Driver	boy guard kicked in the crotch prank sexual abuse	tt0117665	1996
F. Gary Gray	Christina Milian	Comedy Crime Music	Dwayne Johnson	Be Cool 	Debi Mazar	concert mobster russian sequel widow	tt0377471	2005
Chris Gorak	Veronika Vernadskaya	Action Adventure Horror Sci-Fi Thriller	Max Minghella	The Darkest Hour 	Dato Bakhtadze	alien aurora borealis critically bashed killing an animal nightclub	tt1093357	2011
Michael Winterbottom	Ava Acres	Drama	Cara Delevingne	The Face of an Angel 	Sara Stewart		tt2967008	2014
John Carney	Markéta Irglová	Drama Music Romance	Glen Hansard	Once 	Darren Healy	immigrant independent film song street vacuum cleaner	tt0907657	2007
Ben Wheatley	Ben Crompton	Crime Horror Thriller	MyAnna Buring	Kill List 	Neil Maskell	female full frontal nudity hitman knee breaking male full frontal nudity sniper	tt1788391	2011
Joel Zwick	Nick Zano	Comedy Family Fantasy Romance	Dania Ramirez	Fat Albert 	Alice Greczyn	animated sequence junkyard love party television	tt0396592	2004
Catherine Owens	The Edge	Documentary Music	Bono	U2 3D 	Larry Mullen Jr.	3d in title digit in title rock band rocker u2	tt0892375	2007
Scott Marshall	Jami Gertz	Comedy	Miranda Cosgrove	Keeping Up with the Steins 	Carter Jenkins	bar mitzvah carried in a chair hebrew party rite of passage	tt0415949	2006
Brad Peyton	Sean Hayes	Action Comedy Family Fantasy	Jack McBrayer	Cats & Dogs: The Revenge of Kitty Galore 	Katt Williams	cartoon on tv cat dog kitty special agent	tt1287468	2010
Robert Zemeckis	Tom Skerritt	Drama Mystery Sci-Fi Thriller	Matthew McConaughey	Contact 	Larry King	message from outer space religion religion versus science scientist universe	tt0118884	1997
James DeMonaco	Joseph Julian Soria	Action Horror Sci-Fi Thriller	Frank Grillo	The Purge: Election Year 	Mykelti Williamson	cathedral minister presidential election reference to george washington ritual sacrifice	tt4094724	2016
Tom Tykwer	Sebastian Schipper	Comedy Drama Romance	Devid Striesow	3 	Sophie Rois	female nudity full frontal female nudity male frontal nudity menage a trois pubic hair	tt1517177	2010
Mike Binder	Gillian Jacobs	Drama	Jennifer Ehle	Black or White 	Jillian Estell	color in title	tt2883434	2014
Barbet Schroeder	Michael Rapaport	Action Crime Thriller	Nicolas Cage	Kiss of Death 	Philip Baker Hall	beard female nudity police brutality stripper woman in lingerie	tt0113552	1995
Patrick Lussier	Jaime King	Horror Thriller	Jensen Ackles	My Bloody Valentine 	Edi Gathegi	coma death miner valentine valentine's day	tt1179891	2009
Vicente Amorim	Jodie Whittaker	Drama Romance War	Viggo Mortensen	Good 	Steven Mackintosh	censorship children corpse heil hitler suffering	tt0436364	2008
Babar Ahmed	Alexander Wraith	Action Thriller	Lalaine	Royal Kill 	Darren Kendrick	assassin female assassin kingdom martial arts mission	tt0421237	2009
Darrell Roodt	Wendy Crewson	Biography Drama History	Jennifer Hudson	Winnie Mandela 	Aubrey Poo	character name in title nelson mandela one word title reference to winnie mandela south africa	tt1551641	2011
Renny Harlin	Gilbert Gottfried	Action Adventure Comedy Crime Music Mystery	Lauren Holly	The Adventures of Ford Fairlane 	David Patrick Kelly	detective groupie murder music industry rock n roll	tt0098987	1990
Gillian Armstrong	Richard Roxburgh	Drama Romance	Tom Wilkinson	Oscar and Lucinda 	Clive Russell	australia church glass inheritance wager	tt0119843	1997
Richard Attenborough	James Frain	Biography Drama Romance	Anthony Hopkins	Shadowlands 	Julian Fellowes	author book england friend oxford	tt0108101	1993
Bob Spiers	Richard Briers	Comedy Family Music	Jason Flemyng	Spice World 	Victoria Beckham	bus concert live concert pop group spice girl	tt0120185	1997
Michael Bay	Lester Speight	Action Adventure Sci-Fi	Glenn Morshower	Transformers: Dark of the Moon 	Kevin Dunn	autobot decepticon job interview moon spacecraft	tt1399103	2011
Marc Forster	Shaun Toub	Drama	Mustafa Haidari	The Kite Runner 	Khalid Abdalla	afghanistan based on novel boy friend kite	tt0419887	2007
Paul Hunter	Mako	Action Comedy Fantasy	Jaime King	Bulletproof Monk 	Victoria Smurfit	monastery monk scroll tibetan tibetan monk	tt0245803	2003
Victor Nunez	Patricia Richardson	Drama	Peter Fonda	Ulee's Gold 	Vanessa Zima	beekeeper bound and gagged dysfunctional family man with glasses tied to a chair	tt0120402	1997
David Mamet	Randy Couture	Drama Sport	Alice Braga	Redbelt 	Jose Pablo Cantillo	bar debt fight instructor jujitsu	tt1012804	2008
Joel Coen	Bill Cobbs	Comedy Fantasy	Jennifer Jason Leigh	The Hudsucker Proxy 	John Mahoney	art deco board of directors industry mail stock	tt0110074	1994
Jamin Winans	Marty Lindsey	Action Drama Fantasy Sci-Fi	Eme Ikwuakor	Ink 	Jessica Duffy	dream self destructiveness storyteller time paradox workaholic	tt1071804	2009
Kirk De Micco	Emma Stone	Adventure Animation Comedy Family Fantasy	Ryan Reynolds	The Croods 	Nicolas Cage	cave caveman journey strict father survival	tt0481499	2013
Justin Lin	Melissa Roxburgh	Action Adventure Sci-Fi Thriller	Sofia Boutella	Star Trek Beyond 	Lydia Wilson	hatred sequel space opera star trek third part	tt2660888	2016
Mikael Håfström	Kim Thomson	Fantasy Horror	Drew Powell	1408 	Alexandra Silber	book debunking evil hotel paranormal phenomena	tt0450385	2007
Olivier Megaton	Dougray Scott	Action Thriller	Liam Neeson	Taken 3 	Jon Gries	betrayal death final showdown murder on the run	tt2446042	2014
Brett Leonard	Austin O'Brien	Horror Sci-Fi	Jeff Fahey	The Lawnmower Man 	Troy Evans	intelligence science runs amok scientist supernatural power virtual reality	tt0104692	1992
Alan Taylor	Emilia Clarke	Action Adventure Sci-Fi	J.K. Simmons	Terminator Genisys 	Matt Smith	alternate timeline cyborg future robot time machine	tt1340138	2015
Oliver Parker	Rupert Everett	Comedy	Lily Cole	St. Trinian's 	Tamsin Egerton	2000s female protagonist reward school st trinian's	tt0964587	2007
Jane Campion	Ian Mune	Drama Music Romance	Holly Hunter	The Piano 	Geneviève Lemon	adultery daughter male rear nudity new zealand piano	tt0107822	1993
Todd Strauss-Schulson	Thomas Lennon	Adventure Comedy	Patton Oswalt	A Very Harold & Kumar 3D Christmas 	Paula Garcés	christmas christmas tree fire new york city stoner	tt1268799	2011
Michael Winterbottom	Om Puri	Drama Romance Sci-Fi Thriller	Samantha Morton	Code 46 	Natalie Mendoza	genetics i.d. love sphinx totalitarian	tt0345061	2003
Gregory Widen	Adam Goldberg	Action Fantasy Horror Mystery Thriller	Viggo Mortensen	The Prophecy 	Virginia Madsen	angel corpse girl heaven soul	tt0114194	1995
Jon M. Chu	Morgan Freeman	Action Adventure Comedy Crime Mystery Thriller	Daniel Radcliffe	Now You See Me 2 	Sanaa Lathan	card trick london england magician rain machine rooftop	tt3110958	2016
Anthony Minghella	Kristin Scott Thomas	Drama Romance War	Colin Firth	The English Patient 	Jürgen Prochnow	church english flashback nurse patient	tt0116209	1996
Thomas Vinterberg	Chris Owen	Comedy Crime Drama Romance	Michael Angarano	Dear Wendy 	William Hootkins	gang gun loner love outcast	tt0342272	2004
Kevin Rodney Sullivan	James Pickens Jr.	Comedy Drama Romance	Richard Lawson	How Stella Got Her Groove Back 	Barry Shabaka Henley	female protagonist jamaica six word title tragic event vacation	tt0120703	1998
Robert Rodriguez	Salma Hayek	Action Adventure Comedy Family Sci-Fi	Sylvester Stallone	Spy Kids 3-D: Game Over 	Alexa PenaVega	mission spy surfing trapped virtual reality	tt0338459	2003
Jeff Wadlow	Neil Brown Jr.	Action Drama Sport	Djimon Hounsou	Never Back Down 	Leslie Hope	club fight fighting high school mixed martial arts	tt1023111	2008
Stuart Gordon	Dulé Hill	Drama Thriller	Joe Mantegna	Edmond 	Jeffrey Combs	bipolar disorder sodomy stabbing street life violence	tt0443496	2005
Oliver Stone	Austin Pendleton	Drama	Frank Langella	Wall Street: Money Never Sleeps 	John Buffalo Mailer	corporate greed crisis economy greed mentor	tt1027718	2010
Jon Hurwitz	Dania Ramirez	Comedy	Alyson Hannigan	American Reunion 	Natasha Lyonne	bikini female female kiss high school reunion outdoor sex upskirt	tt1605630	2012
Wes Craven	Emily Meade	Horror Mystery Thriller	Frank Grillo	My Soul to Take 	Zena Grey	evil killer murder psychopath serial killer	tt0872230	2010
Jason Moore	Hana Mae Lee	Comedy Music Romance	Anna Kendrick	Pitch Perfect 	Ben Platt	a cappella competition dj female protagonist lesbian	tt1981677	2012
Clint Eastwood	Richard Bull	Mystery Western	Clint Eastwood	High Plains Drifter 	John Hillerman	gravestone gunfighter outlaw revenge small town	tt0068699	1973
Michael Moore	Eddie Vedder	Documentary	Michael Moore	Slacker Uprising 	Steve Earle	character name in title election campaign presidential election	tt0850669	2007
Andrew Traucki	Gyton Grantley	Horror Thriller	Damian Walshe-Howling	The Reef 	Adrienne Pickering	boat great white shark killing an animal shark underwater	tt1320291	2010
Christopher Cain	Patrick Wayne	Action Crime Drama Thriller Western	Jack Palance	Young Guns 	Brian Keith	army cattle deputy new mexico rancher	tt0096487	1988
Bruno Barreto	Sonia Braga	Comedy Drama Romance	Marcello Mastroianni	Gabriela 	Joffre Soares	based on novel brazil female underarm hair sex in a window star appears nude	tt0085575	1983
Joel Schumacher	Jami Gertz	Comedy Fantasy Horror	Dianne Wiest	The Lost Boys 	Jason Patric	1980s california death small town vampire	tt0093437	1987
Patrick Creadon	Bill Clinton	Documentary	Ken Burns	Wordplay 	Bob Dole	comedian crossword puzzle editor new york times puzzle	tt0492506	2006
Brian De Palma	Gabrielle Carteris	Crime Drama Thriller	Steven Bauer	Raising Cain 	Gregg Henry	hitchcockian long tracking shot psychologist psychology wig	tt0105217	1992
